Variable,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR,STATION,STATION ID
mws,8.8,9.2,9.6,10,9.2,9.3,8.6,8.3,8.2,8.2,8.7,8.7,8.9,Spokane,0
mws,5.6,6.4,7.9,8.6,8.5,8.2,7.8,7.4,7.3,6.6,5.8,5.2,7.1,Yakima,1
mws,6.7,6.8,6.7,6.3,6,5.8,5.5,5.1,4.9,5.4,6.4,6.6,6,Quilliayute,2
mws,9.6,9.5,9.6,9.5,8.9,8.7,8.3,8,8.1,5.5,9.3,9.6,9,Seattle,3
direction,NE,SSW,SSW,SW,SSW,SSW,SW,SW,NE,SSW,NE,NE,SSW,Spokane,0
direction,W,W,W,WNW,WNW,NW,WNW,WNW,WNW,WNW,W,W,WNW,Yakima,1
direction,W,SE,SE,SW,W,SE,NE,SE,SE,SE,SE,SW,SE,Quilliayute,2
direction,SSW,SW,SSW,SW,SW,SW,SW,SW,NE,S,SE,SSW,SW,Seattle,3
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
